0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.43517,43.435013,43.46979,44.10682,44.221962,44.21309,44.222275,44.234013,61.148067,62.716675,0.0,63.396336,46.069794,56.663128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.84086,48.698982,0.0,0.0,0.0,48.606575,48.600506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.700066,42.92442,43.43407,43.434128,44.16805,43.43485,43.4348,43.49296,44.221287,44.22232,45.265102,0.0,46.991425,46.10094,46.37349,43.021397,42.48878,41.332146,44.926186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.69852,0.0,0.0,0.0,0.0,48.68505,48.701332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.899525,42.069168,42.91433,41.97079,42.796417,43.434074,43.43415,43.952785,44.05382,44.15888,50.22819,0.0,0.0,0.0,40.758038,40.58184,40.576584,40.58296,40.60846,40.671677,40.671124,40.75819,40.71235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.698715,49.16294,0.0,0.0,0.0,0.0,48.701965,48.71589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.898502,41.895493,41.899216,41.899437,41.89945,41.902122,42.59243,43.504833,57.252007,0.0,0.0,0.0,44.07878,40.811214,40.767403,40.761772,40.753944,40.67978,40.734707,40.641838,40.575695,40.61051,40.58987,40.588436,40.727352,40.618324,40.61285,40.733986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.691513,52.93035,0.0,0.0,0.0,0.0,0.0,49.149933,49.008827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.899433,41.842255,41.873264,41.901466,42.156357,58.735558,41.403145,41.220734,41.25847,41.229736,41.06886,40.923138,40.897438,40.84426,40.767982,40.75941,40.736534,40.71331,40.66177,40.6348,40.603806,40.588974,40.589542,40.606712,40.621494,40.73671,40.68296,40.92919,41.42356,42.08876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.623756,48.636738,0.0,0.0,0.0,0.0,0.0,0.0,49.178284,49.410034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.303005,41.765335,42.06808,42.1202,41.681686,41.424095,41.31906,41.298584,41.091427,41.183334,41.08306,41.03554,40.930805,40.898376,40.871414,40.80127,40.81118,40.75983,40.733788,40.667732,40.643967,40.608006,40.587585,40.596737,40.597855,40.616463,40.825863,40.959274,40.87516,41.457146,41.861374,42.06907,42.468597,0.0,0.0,0.0,0.0,0.0,0.0,86.73501,48.655167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.461,49.448936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.78231,43.030663,43.313522,42.211685,41.925682,41.75141,41.55953,41.47944,41.4127,41.2112,41.235775,41.155872,41.058887,40.980534,40.955376,40.923378,40.933872,40.836334,40.829468,40.817673,40.825096,40.682426,40.648544,40.53981,40.533787,40.488693,40.384254,40.383827,40.39265,40.393833,40.68638,41.023537,41.32807,41.368736,41.72453,41.83625,42.18872,42.51646,0.0,0.0,0.0,0.0,0.0,0.0,48.63567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.46087,49.946346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.19346,42.764244,42.96844,42.069088,41.74859,41.60158,41.54121,41.518894,41.355156,41.23372,41.21578,41.199303,41.10901,41.072174,41.000603,40.964783,40.93021,40.89867,40.83435,40.760506,40.720615,40.667057,40.571552,40.517902,40.5096,40.40551,40.347103,40.28666,40.318207,40.34622,40.60144,40.8017,41.039024,41.32879,41.721172,42.06307,42.280373,42.62407,43.00502,43.211365,0.0,0.0,0.0,0.0,48.63644,54.76715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.46277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.3154,43.289104,42.58609,41.951965,41.86472,41.750366,41.509674,41.483006,41.46119,41.354237,41.28327,41.202816,41.16384,41.11811,41.0639,40.988804,40.941666,40.877987,40.860172,40.8208,40.750156,40.7008,40.656433,40.59168,40.514874,40.46531,40.364143,40.296272,40.230682,40.259888,40.360832,40.503258,40.868626,40.964283,41.342255,41.703106,42.03657,42.37314,42.667534,42.716644,43.005432,43.34477,43.60304,0.0,76.411804,48.636375,54.63143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.94199,49.46281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.207153,43.228462,42.44642,41.91498,41.850464,41.71457,41.55809,41.486134,41.46522,41.359344,41.283478,41.19522,41.152695,41.091846,41.047615,40.97862,40.927998,40.879807,40.824524,40.776516,40.723995,40.664654,40.600475,40.520702,40.451042,40.383167,40.30738,40.243763,40.207783,40.229015,40.35578,40.52321,40.7976,41.102737,41.380737,41.694397,41.899208,42.0789,42.38855,42.897778,43.159966,43.28994,43.96939,43.824684,0.0,48.636078,48.676525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.554783,49.40149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
